As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
29/Aug/2014,13.07,0.07,0.54
28/Aug/2014,13.00,-0.06,-0.46
27/Aug/2014,13.06,-0.03,-0.23
26/Aug/2014,13.09,0.03,0.23
25/Aug/2014,13.06,0.11,0.85
22/Aug/2014,12.95,-0.01,-0.08
21/Aug/2014,12.96,0.05,0.39
20/Aug/2014,12.91,0.03,0.23
19/Aug/2014,12.88,0.14,1.10
18/Aug/2014,12.74,0.12,0.95
14/Aug/2014,12.62,0.09,0.72
13/Aug/2014,12.53,-0.06,-0.48
12/Aug/2014,12.59,0.07,0.56
11/Aug/2014,12.52,0.15,1.21
08/Aug/2014,12.37,-0.09,-0.72
07/Aug/2014,12.46,0.11,0.89
06/Aug/2014,12.35,-0.04,-0.32
05/Aug/2014,12.39,0.00,0.00
04/Aug/2014,12.39,0.04,0.32
01/Aug/2014,12.35,-0.14,-1.12
31/Jul/2014,12.49,-0.09,-0.72
30/Jul/2014,12.58,0.05,0.40
29/Jul/2014,12.53,0.11,0.89
28/Jul/2014,12.42,-0.07,-0.56
25/Jul/2014,12.49,-0.04,-0.32
24/Jul/2014,12.53,-0.02,-0.16
23/Jul/2014,12.55,-0.02,-0.16
22/Jul/2014,12.57,0.14,1.13
21/Jul/2014,12.43,0.08,0.65
18/Jul/2014,12.35,-0.02,-0.16
17/Jul/2014,12.37,-0.02,-0.16
16/Jul/2014,12.39,0.12,0.98
15/Jul/2014,12.27,-0.02,-0.16
14/Jul/2014,12.29,0.05,0.41
11/Jul/2014,12.24,0.09,0.74
10/Jul/2014,12.15,-0.13,-1.06
09/Jul/2014,12.28,-0.06,-0.49
08/Jul/2014,12.34,-0.22,-1.75
07/Jul/2014,12.56,-0.04,-0.32
04/Jul/2014,12.60,0.05,0.40
03/Jul/2014,12.55,0.07,0.56
02/Jul/2014,12.48,0.05,0.40
01/Jul/2014,12.43,0.18,1.47
30/Jun/2014,12.25,0.04,0.33
27/Jun/2014,12.21,0.02,0.16
26/Jun/2014,12.19,0.03,0.25
25/Jun/2014,12.16,-0.09,-0.73
24/Jun/2014,12.25,-0.02,-0.16
20/Jun/2014,12.27,0.07,0.57
19/Jun/2014,12.20,-0.02,-0.16
18/Jun/2014,12.22,-0.01,-0.08
17/Jun/2014,12.23,0.12,0.99
16/Jun/2014,12.11,-0.06,-0.49
13/Jun/2014,12.17,-0.01,-0.08
12/Jun/2014,12.18,-0.02,-0.16
11/Jun/2014,12.20,0.00,0.00
10/Jun/2014,12.20,0.11,0.91
06/Jun/2014,12.09,0.13,1.09
05/Jun/2014,11.96,0.11,0.93
04/Jun/2014,11.85,0.01,0.08
03/Jun/2014,11.84,0.04,0.34
02/Jun/2014,11.80,-0.04,-0.34
30/May/2014,11.84,0.00,0.00
28/May/2014,11.84,0.05,0.42
27/May/2014,11.79,0.09,0.77
26/May/2014,11.70,0.07,0.60
23/May/2014,11.63,0.07,0.61
22/May/2014,11.56,0.09,0.78
21/May/2014,11.47,0.09,0.79
20/May/2014,11.38,0.03,0.26
19/May/2014,11.35,0.08,0.71
16/May/2014,11.27,-0.02,-0.18
15/May/2014,11.29,-0.10,-0.88
14/May/2014,11.39,-0.05,-0.44
13/May/2014,11.44,0.07,0.62
12/May/2014,11.37,0.20,1.79
09/May/2014,11.17,-0.01,-0.09
08/May/2014,11.18,0.13,1.18
07/May/2014,11.05,-0.28,-2.47
06/May/2014,11.33,0.00,0.00
05/May/2014,11.33,-0.06,-0.53
02/May/2014,11.39,0.19,1.70
30/Apr/2014,11.20,-0.04,-0.36
29/Apr/2014,11.24,-0.04,-0.35
28/Apr/2014,11.28,-0.10,-0.88
25/Apr/2014,11.38,-0.11,-0.96
24/Apr/2014,11.49,-0.06,-0.52
23/Apr/2014,11.55,-0.02,-0.17
22/Apr/2014,11.57,0.14,1.22
17/Apr/2014,11.43,0.09,0.79
16/Apr/2014,11.34,0.00,0.00
15/Apr/2014,11.34,0.13,1.16
14/Apr/2014,11.21,-0.11,-0.97
11/Apr/2014,11.32,-0.29,-2.50
