As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
31-Jul-15,16.34,-0.13,-0.79
30-Jul-15,16.47,0.17,1.04
29-Jul-15,16.30,0.04,0.25
28-Jul-15,16.26,-0.03,-0.18
27-Jul-15,16.29,-0.53,-3.15
24-Jul-15,16.82,-0.07,-0.41
23-Jul-15,16.89,-0.08,-0.47
22-Jul-15,16.97,-0.26,-1.51
21-Jul-15,17.23,0.00,0.00
20-Jul-15,17.23,0.07,0.41
17-Jul-15,17.16,0.26,1.54
16-Jul-15,16.90,0.10,0.60
15-Jul-15,16.80,0.14,0.84
14-Jul-15,16.66,0.07,0.42
13-Jul-15,16.59,0.35,2.16
10-Jul-15,16.24,-0.17,-1.04
09-Jul-15,16.41,0.16,0.98
08-Jul-15,16.25,-0.35,-2.11
07-Jul-15,16.60,0.04,0.24
06-Jul-15,16.56,-0.11,-0.66
03-Jul-15,16.67,-0.03,-0.18
02-Jul-15,16.70,-0.18,-1.07
01-Jul-15,16.88,0.36,2.18
30-Jun-15,16.52,-0.18,-1.08
29-Jun-15,16.70,-0.27,-1.59
26-Jun-15,16.97,-0.06,-0.35
25-Jun-15,17.03,-0.11,-0.64
24-Jun-15,17.14,0.27,1.60
22-Jun-15,16.87,0.15,0.90
19-Jun-15,16.72,0.19,1.15
18-Jun-15,16.53,-0.12,-0.72
17-Jun-15,16.65,0.10,0.60
16-Jun-15,16.55,0.09,0.55
15-Jun-15,16.46,-0.19,-1.14
12-Jun-15,16.65,-0.08,-0.48
11-Jun-15,16.73,0.24,1.46
10-Jun-15,16.49,0.06,0.37
09-Jun-15,16.43,-0.29,-1.73
08-Jun-15,16.72,-0.23,-1.36
05-Jun-15,16.95,0.18,1.07
04-Jun-15,16.77,-0.10,-0.59
03-Jun-15,16.87,-0.03,-0.18
02-Jun-15,16.90,-0.36,-2.09
01-Jun-15,17.26,-0.04,-0.23
29-May-15,17.30,-0.18,-1.03
28-May-15,17.48,0.06,0.34
27-May-15,17.42,0.09,0.52
26-May-15,17.33,0.02,0.12
22-May-15,17.31,0.29,1.70
21-May-15,17.02,-0.05,-0.29
20-May-15,17.07,0.06,0.35
19-May-15,17.01,0.41,2.47
